id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
Abu-Akel_2020-1	0.049167942692053074	0.04158930264621425	0.0	0.0	0.00027290217357945826	0.0	0.0	0.0
Alkire_2018-1	0.019553774245503974	0.10833520595089308	0.1886061299467493	0.022664911351097675	0.07874915964393793	0.09070440380655673	0.09146652567919027	0.23734594089052752
Anders_2015-1	0.12507708740496642	0.0	0.0	2.1893390882162018e-05	0.00010092843517413867	0.0	4.4417634138661635e-10	0.0
Berns_2005-1	0.11650298850185291	0.027625643286875286	1.5677660306878673e-05	2.819191417041061e-06	0.004905166858497688	0.06667064788041048	0.02576435164704469	0.045433490999634916
Brune_2013-1	0.0	0.0	0.0	4.489557832905907e-09	0.0	0.0022632639618355645	6.975289484806611e-05	0.0032113410514418715
Chaminade_2012-1	0.0746400548498394	0.1090749974245474	0.0	5.446732765102814e-05	2.685029859627893e-06	0.0	0.0	0.0014283636802148716
Chaminade_2015-1	0.085066224221308	0.07014800799047757	0.0	0.0022868504251380944	0.00011546256931296437	0.0	0.0	0.0
Delgado_2008-1	0.0	0.0	0.0	0.0005993127957587038	0.0	0.0	0.0	0.0
Edmiston_2015-1	0.0	4.4094372918980315e-06	0.0	1.0071452779902434e-06	0.0	7.93767057717891e-06	0.0	6.334797491039209e-11
Elliott_2006-1	0.0009269880561541608	0.0	0.0	0.11864125962644576	0.11651835439821698	0.0	2.525482693511839e-06	0.0
Fareri_2012-1	0.12441441331605078	0.06122248609553277	0.0021138093644208853	0.0760561091539366	0.0010557515176985613	0.1086509072256994	0.057785908326528	0.19734369467724516
Fareri_2014-1	0.0003701864500799455	0.0	0.025416524578089218	0.07179989635290718	0.09073858992407326	0.025925476363819325	0.0011772205387089452	4.387964962859324e-06
Fareri_2015-1	0.0	0.0	2.1755016232916093e-09	0.0	0.0035622282758699304	0.000593652286086961	3.1602487120881612e-06	0.0060021511502826395
Fukui_2006-1	0.08898490198200774	0.0	0.0	0.0	0.0015872109017201455	0.0	0.0	0.0
Gallagher_2002-1	0.0024200911299594296	0.0	1.1861147388953819e-05	0.0	0.06685401853507653	0.0	0.0006535542033458075	0.0
Hu_2018-1	0.0	0.03268545032123852	0.0	0.0745303049184162	0.0	7.927394551303362e-06	0.0	0.0
Kircher_2009-1	0.00026238225773078715	0.0002232840574105922	0.006281984915945909	0.0	0.0037108322888117643	0.0	0.12036868510554574	0.004729821510612746
Krach_2008-1	0.10301360796085912	0.1163795031072387	0.0	0.00048419352986909083	0.00031295274967946035	0.13023939576426447	2.07229661310525e-05	0.0
Krach_2009_Study1-1	0.0063657983667977855	0.0	5.679138534032153e-06	0.0	0.08338324740014837	0.0	0.0	0.0818804337166706
Krach_2009_Study2-1	0.013499986783592221	0.11082275456920308	0.0	0.11187986319860119	0.07167857115661083	0.0	0.0	0.0
Ozdem_2017-1	0.0	0.0	0.0	6.8349641119742126e-09	0.0	0.0	0.0	0.0
Pfeiffer_2014-1	4.63215694709213e-07	0.0	0.22890067776770592	0.0	1.1321117121082671e-05	0.0005041215323922564	4.100841120954891e-05	0.16011219672219773
Polosan_2011-1	0.0007799334925300095	0.0	0.0009624969785540382	0.0	0.06511613070856548	0.0	4.167658873930089e-07	0.0
Riedl_2014-1	0.12277807713638852	0.0	7.28166288911533e-05	0.006265633115425925	0.000295285747643821	0.0	0.004715149936678298	3.3970674194185445e-11
Rilling_2004-1	6.343515577204896e-06	0.10632441299490222	0.03161229038159865	0.1296987947915374	0.09209642133100619	0.007977400063349922	0.11083378016419428	0.0029773348564500245
Rilling_2008-1	0.004512684013629442	0.021684476353646058	0.0	0.010869294051054865	8.352100704404424e-07	0.12274600381956761	0.13227153538972952	0.0
Rilling_2012-1	1.0965592733518855e-05	0.0	0.2310641460131069	0.046197099769206315	0.04505648731303891	0.0	0.13116059393422003	0.006489929786010899
Schindler_2019-1	0.001207115425616317	0.0	0.0018291255017434571	0.08733691474326864	0.14663494978839398	0.19872273126695647	0.10880784072281321	0.1267466207934268
Schuwerk_2017-1	7.913493515664509e-05	0.0	0.0	0.0011739500022967476	7.837155427173701e-05	0.0	0.0	0.0
Sun_2016-1	0.04433030499126359	0.0	0.09852818463783172	0.10518887648704599	8.315916709397161e-06	0.0	0.0	0.0
Takahashi_2014-1	1.2071805117490817e-05	0.050740617133450856	0.0	0.06921788083861374	0.05615045241236124	0.0	0.00028968105413745344	0.0
Takahashi_2015-1	0.00870030554682976	0.051712344123927015	0.0	0.0581358490250607	9.657926697675325e-07	0.0976038915336104	0.06346440904681414	2.2265909840589792e-06
Warnell_2018-1	0.0	0.0840170158401399	0.17727272963540947	0.0	0.06365630269890965	0.14013945009628384	0.1440680812192876	0.12000145796249134
vandenBos_2007-1	0.0	0.0	0.0	0.0	0.0	2.0204860789847307e-12	0.0	0.0
